Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:12:03.381069,-296,768,644
2015-06-12 14:12:03.480518,-288,764,636
2015-06-12 14:12:03.579967,-280,764,632
2015-06-12 14:12:03.679416,-280,772,648
2015-06-12 14:12:03.778865,-276,772,632
2015-06-12 14:12:03.878314,-268,776,652
2015-06-12 14:12:03.977763,-272,780,640
2015-06-12 14:12:04.077212,-276,784,624
2015-06-12 14:12:04.176661,-260,756,636
2015-06-12 14:12:04.276110,-264,764,648
2015-06-12 14:12:04.375559,-268,772,660
2015-06-12 14:12:04.475008,-264,776,656
2015-06-12 14:12:04.574457,-256,768,652
2015-06-12 14:12:04.673906,-256,764,648
2015-06-12 14:12:04.773355,-260,752,660
2015-06-12 14:12:04.872804,-268,764,684
2015-06-12 14:12:04.972253,-284,760,672
2015-06-12 14:12:05.071702,-304,752,680
2015-06-12 14:12:05.171151,-308,740,696
2015-06-12 14:12:05.270600,-328,732,684
2015-06-12 14:12:05.370049,-340,740,692
2015-06-12 14:12:05.469498,-332,724,692
2015-06-12 14:12:05.568947,-320,708,680
2015-06-12 14:12:05.668396,-304,712,668
2015-06-12 14:12:05.767845,-296,728,668
2015-06-12 14:12:05.867294,-292,708,732
2015-06-12 14:12:05.966743,-292,688,724
2015-06-12 14:12:06.066192,-304,680,696
2015-06-12 14:12:06.165641,-324,700,704
2015-06-12 14:12:06.265090,-340,704,744
2015-06-12 14:12:06.364539,-352,696,728
2015-06-12 14:12:06.463988,-368,680,720
2015-06-12 14:12:06.563437,-376,668,720
2015-06-12 14:12:06.662886,-380,672,716
2015-06-12 14:12:06.762335,-388,668,708
2015-06-12 14:12:06.861784,-388,660,724
2015-06-12 14:12:06.961233,-388,660,708
2015-06-12 14:12:07.060682,-392,668,712
2015-06-12 14:12:07.160131,-388,664,724
2015-06-12 14:12:07.259580,-376,672,700
2015-06-12 14:12:07.359029,-380,672,708
2015-06-12 14:12:07.458478,-376,668,716
2015-06-12 14:12:07.557927,-376,668,708
2015-06-12 14:12:07.657376,-380,676,696
2015-06-12 14:12:07.756825,-384,668,692
2015-06-12 14:12:07.856274,-380,668,700
2015-06-12 14:12:07.955723,-388,668,696
2015-06-12 14:12:08.055172,-384,676,704
2015-06-12 14:12:08.154621,-396,660,708
2015-06-12 14:12:08.254070,-392,664,696
2015-06-12 14:12:08.353519,-392,676,704
2015-06-12 14:12:08.452968,-388,672,692
2015-06-12 14:12:08.552417,-384,668,696
2015-06-12 14:12:08.651866,-376,676,692
2015-06-12 14:12:08.751315,-368,688,692
2015-06-12 14:12:08.850764,-348,716,716
2015-06-12 14:12:08.950213,-356,736,732
2015-06-12 14:12:09.049662,-372,732,736
2015-06-12 14:12:09.149111,-404,760,780
2015-06-12 14:12:09.248560,-392,764,736
2015-06-12 14:12:09.348009,-332,740,688
2015-06-12 14:12:09.447458,-220,704,624
2015-06-12 14:12:09.546907,-140,696,636
2015-06-12 14:12:09.646356,-124,724,652
2015-06-12 14:12:09.745805,-80,768,668
2015-06-12 14:12:09.845254,-24,772,664
2015-06-12 14:12:09.944703,-16,796,628
2015-06-12 14:12:10.044152,44,828,548
2015-06-12 14:12:10.143601,76,852,652
2015-06-12 14:12:10.243050,84,840,600
2015-06-12 14:12:10.342499,112,836,592
2015-06-12 14:12:10.441948,108,840,600
2015-06-12 14:12:10.541397,120,852,604
2015-06-12 14:12:10.640846,116,880,544
2015-06-12 14:12:10.740295,96,896,548
2015-06-12 14:12:10.839744,116,868,624
2015-06-12 14:12:10.939193,148,864,616
2015-06-12 14:12:11.038642,168,872,588
2015-06-12 14:12:11.138091,152,864,588
2015-06-12 14:12:11.237540,164,880,520
2015-06-12 14:12:11.336989,180,900,448
2015-06-12 14:12:11.436438,248,900,532
2015-06-12 14:12:11.535887,272,868,556
2015-06-12 14:12:11.635336,284,860,524
2015-06-12 14:12:11.734785,304,868,492
2015-06-12 14:12:11.834234,292,864,504
2015-06-12 14:12:11.933683,292,856,480
2015-06-12 14:12:12.033132,296,880,472
2015-06-12 14:12:12.132581,312,860,448
2015-06-12 14:12:12.232030,328,856,588
2015-06-12 14:12:12.331479,264,876,528
2015-06-12 14:12:12.430928,264,908,492
2015-06-12 14:12:12.530377,284,856,532
2015-06-12 14:12:12.629826,284,856,524
2015-06-12 14:12:12.729275,248,888,484
2015-06-12 14:12:12.828724,232,916,480
2015-06-12 14:12:12.928173,252,916,520
2015-06-12 14:12:13.027622,284,888,500
2015-06-12 14:12:13.127071,276,872,512
2015-06-12 14:12:13.226520,280,904,536
2015-06-12 14:12:13.325969,236,908,544
2015-06-12 14:12:13.425418,252,868,560
2015-06-12 14:12:13.524867,256,868,560
2015-06-12 14:12:13.624316,268,892,516
2015-06-12 14:12:13.723765,276,880,520
2015-06-12 14:12:13.823214,292,848,544
2015-06-12 14:12:13.922663,264,812,560
2015-06-12 14:12:14.022112,284,768,596
2015-06-12 14:12:14.121561,308,840,548
2015-06-12 14:12:14.221010,300,916,436
2015-06-12 14:12:14.320459,220,924,464
2015-06-12 14:12:14.419908,232,908,544
2015-06-12 14:12:14.519357,228,844,572
2015-06-12 14:12:14.618806,220,888,536
2015-06-12 14:12:14.718255,200,908,500
2015-06-12 14:12:14.817704,232,876,492
2015-06-12 14:12:14.917153,248,876,536
2015-06-12 14:12:15.016602,248,912,468
2015-06-12 14:12:15.116051,208,908,544
2015-06-12 14:12:15.215500,212,924,520
2015-06-12 14:12:15.314949,200,924,468
2015-06-12 14:12:15.414398,204,920,456
2015-06-12 14:12:15.513847,232,876,472
2015-06-12 14:12:15.613296,216,876,472
2015-06-12 14:12:15.712745,192,924,420
2015-06-12 14:12:15.812194,212,908,496
2015-06-12 14:12:15.911643,200,876,492
2015-06-12 14:12:16.011092,208,920,444
2015-06-12 14:12:16.110541,224,932,488
2015-06-12 14:12:16.209990,220,904,528
2015-06-12 14:12:16.309439,232,876,504
2015-06-12 14:12:16.408888,248,924,528
2015-06-12 14:12:16.508337,244,928,516
2015-06-12 14:12:16.607786,264,868,520
2015-06-12 14:12:16.707235,272,852,520
2015-06-12 14:12:16.806684,280,868,460
2015-06-12 14:12:16.906133,284,888,512
2015-06-12 14:12:17.005582,292,852,504
2015-06-12 14:12:17.105031,296,868,516
2015-06-12 14:12:17.204480,280,884,500
2015-06-12 14:12:17.303929,296,856,528
2015-06-12 14:12:17.403378,296,840,532
2015-06-12 14:12:17.502827,300,872,504
2015-06-12 14:12:17.602276,284,892,516
2015-06-12 14:12:17.701725,308,852,512
2015-06-12 14:12:17.801174,304,852,488
2015-06-12 14:12:17.900623,304,884,484
2015-06-12 14:12:18.000072,304,852,524
2015-06-12 14:12:18.099521,324,836,508
