timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
7600,-0.11493,2.72949,-9.71123,10.00977,-7.8125,-13.67188,0.0431,2.20274,-9.9315,-8.66699,10.74219,10.37598
7700,-0.59378,1.86754,-9.09829,10.74219,-8.17871,-12.57324,-0.58899,1.99684,-8.57634,6.5918,0.30518,0.42725
7800,-2.57625,1.61854,-8.73436,10.00977,-7.01904,-14.16016,-2.79174,1.41263,-9.05998,11.04736,-11.2915,12.81738
7900,-2.21232,2.39429,-9.09829,10.74219,-8.17871,-14.16016,-1.97768,2.79653,-9.2611,-2.80762,6.22559,3.72314
8000,-0.61294,1.96332,-9.05998,10.00977,-8.17871,-13.67188,-0.3783,1.74783,-7.90594,-2.74658,0.48828,-17.7002
8100,-0.66082,1.84839,-9.16533,10.43701,-7.8125,-14.03809,-0.52674,1.83881,-7.76707,9.09424,8.97217,-10.25391
8200,-1.58981,2.35598,-9.14618,10.74219,-8.48389,-14.83154,-1.676,2.16922,-9.50053,12.81738,-8.42285,9.8877
8300,-2.51879,2.44217,-9.19406,10.00977,-6.71387,-14.16016,-2.0974,2.19317,-9.46222,-12.51221,12.45117,10.37598
8400,-0.74702,2.39429,-8.95463,9.33838,-7.38525,-14.83154,-0.62251,2.54752,-8.60028,5.7373,-2.86865,-4.57764
8500,-1.53234,2.33682,-9.05041,9.27734,-7.38525,-14.83154,-1.45573,2.4709,-9.3473,23.4375,-9.15527,-12.57324
8600,-2.05909,2.25063,-9.05041,10.00977,-6.71387,-14.4043,-1.99205,2.40386,-8.90196,9.70459,8.78906,-4.94385
8700,-1.64727,2.28894,-8.8014,9.64355,-7.01904,-15.19775,-1.56586,2.34161,-7.94903,9.33838,-2.44141,-32.65381
8800,-1.2163,2.20274,-8.61943,10.00977,-5.92041,-15.99121,-1.06785,1.87712,-7.70482,1.64795,-2.0752,-16.17432
8900,-1.40784,2.64329,-9.07914,10.74219,-5.92041,-15.625,-1.30249,2.71033,-8.89717,-2.31934,-8.17871,-1.46484
9000,-1.49404,2.8923,-8.94506,11.47461,-5.24902,-14.83154,-1.48446,2.58104,-9.12223,-9.70459,7.32422,-4.21143
9100,-1.44615,2.49964,-8.64817,11.1084,-5.24902,-14.83154,-1.28813,2.73906,-8.44704,14.4043,6.83594,-18.06641
9200,-1.63769,2.59541,-9.05041,11.47461,-4.88281,-15.19775,-1.77177,2.40386,-9.1797,21.78955,-16.29639,-12.02393
9300,-1.87712,2.46133,-9.02167,11.1084,-4.57764,-14.16016,-1.93458,2.24584,-8.7583,-3.17383,-1.09863,8.91113
9400,-1.62812,2.73906,-8.84929,11.1084,-4.88281,-15.19775,-1.47009,3.02638,-7.87242,-8.42285,3.66211,-7.56836
9500,-1.41742,2.84441,-9.23237,11.47461,-4.88281,-14.4043,-1.09179,2.89709,-7.84847,8.72803,6.10352,-9.70459
9600,-1.38869,2.61456,-9.05998,11.1084,-4.57764,-14.89258,-1.35517,2.4326,-9.18449,10.86426,-5.5542,-3.11279
9700,-2.07824,2.50921,-8.99294,11.47461,-4.15039,-15.19775,-2.06388,2.52837,-9.02646,0.61035,1.2207,-1.77002
9800,-1.89628,2.50921,-8.36085,11.90186,-3.78418,-14.89258,-1.70952,2.98807,-8.01128,-2.13623,16.8457,1.58691
9900,-1.5515,2.59541,-9.07914,11.90186,-4.88281,-15.19775,-1.49404,2.52837,-8.63859,9.21631,-16.47949,-11.59668
10000,-1.44615,2.61456,-9.08871,12.20703,-4.15039,-14.4043,-1.36474,2.15965,-9.02646,-3.35693,0.73242,5.06592
10100,-1.53234,2.51879,-8.88759,11.1084,-4.15039,-14.16016,-1.36474,2.95455,-8.44226,-13.85498,14.52637,7.26318
10200,-1.86754,2.86357,-9.06956,11.90186,-4.88281,-13.73291,-1.85318,3.15567,-9.53405,8.66699,15.07568,-5.7373
10300,-1.8005,2.61456,-8.84929,11.1084,-4.15039,-15.19775,-1.8436,2.23626,-8.90675,12.20703,-8.78906,-5.79834
10400,-1.60896,2.35598,-8.47578,12.20703,-4.15039,-15.19775,-1.69037,2.57625,-8.93069,2.13623,-2.99072,9.52148
10500,-1.78135,2.56668,-9.10787,12.20703,-5.24902,-15.625,-1.60896,2.50921,-9.20843,-2.99072,18.98193,9.33838
10600,-1.50361,2.4709,-8.72478,11.1084,-4.57764,-15.625,-1.37911,2.78695,-8.04002,6.28662,-5.06592,-9.64355
10700,-1.49404,2.60498,-8.78225,10.74219,-4.57764,-14.16016,-1.43657,2.3895,-9.57715,11.53564,-20.08057,-15.68604
10800,-1.65685,2.50921,-8.75351,11.47461,-3.78418,-15.19775,-1.63769,2.47569,-8.86844,-7.14111,9.52148,15.19775
10900,-1.66642,2.66245,-8.10227,11.90186,-5.24902,-15.99121,-1.6329,2.77258,-7.53722,-5.18799,-0.61035,-4.39453
11000,-1.71431,2.71991,-8.81098,11.59668,-4.57764,-14.83154,-1.69516,2.54273,-7.97776,6.5918,-7.08008,-20.32471
11100,-1.47488,2.6816,-8.68647,12.26807,-3.41797,-15.19775,-1.42221,2.35119,-8.96421,1.2207,-7.8125,5.37109
11200,-1.51319,2.61456,-9.11745,11.96289,-4.15039,-14.16016,-1.39348,2.9354,-8.90196,3.17383,0.91553,8.17871
11300,-1.52277,2.74864,-8.99294,11.96289,-4.15039,-14.83154,-1.47009,2.40865,-9.33293,-2.62451,15.38086,0.67139
11400,-1.52277,2.41344,-8.56197,11.96289,-4.57764,-15.19775,-1.427,2.78695,-7.67608,8.78906,-5.24902,-11.16943
11500,-1.49404,2.58583,-8.75351,12.69531,-3.11279,-14.83154,-1.47488,1.99205,-9.14139,7.32422,-15.31982,-9.15527
11600,-1.60896,2.66245,-8.98337,12.69531,-3.11279,-14.4043,-1.57544,2.6002,-8.79182,-12.3291,6.95801,18.49365
11700,-1.48446,2.46133,-8.24592,12.69531,-3.78418,-14.83154,-1.36474,2.54273,-7.52285,-5.5542,3.90625,3.11279
11800,-1.41742,2.65287,-8.58113,11.96289,-4.57764,-15.625,-1.36474,2.4709,-7.92509,2.56348,-9.64355,-13.97705
11900,-1.48446,2.7678,-8.96421,11.96289,-4.15039,-14.83154,-1.46052,2.38471,-8.83013,8.30078,-3.23486,3.479
12000,-1.48446,2.5571,-9.12702,11.59668,-3.41797,-15.19775,-1.34559,2.73428,-9.04562,3.2959,5.06592,12.08496
12100,-1.59938,2.5571,-9.05041,12.69531,-4.15039,-15.19775,-1.57544,2.61935,-9.19885,3.17383,7.32422,4.63867
12200,-1.53234,2.57625,-8.8014,11.59668,-5.24902,-15.19775,-1.47488,2.73906,-8.2124,1.70898,15.25879,9.33838
12300,-1.5515,2.71033,-9.02167,11.96289,-4.88281,-14.16016,-1.48446,2.52358,-8.87323,9.15527,-16.72363,-14.89258
12400,-1.62812,2.79653,-9.27068,12.26807,-3.78418,-14.83154,-1.67121,2.0974,-9.70165,-0.79346,18.37158,25.63477
12500,-1.64727,2.40386,-8.40874,10.80322,-4.57764,-14.83154,-1.52277,2.77737,-8.29381,-20.1416,22.2168,50.90332
12600,-1.68558,2.63372,-9.07914,10.80322,-6.34766,-15.99121,-1.5084,3.2706,-9.14139,-2.44141,12.87842,30.70068
12700,-0.94814,2.8923,-8.81098,9.0332,-5.92041,-15.19775,-0.87631,2.48048,-8.98337,-0.91553,-5.5542,15.56396
12800,-1.07264,2.63372,-9.03125,9.33838,-7.01904,-14.4043,-0.98166,2.69597,-8.91154,6.65283,10.98633,28.74756
12900,-1.53234,2.57625,-9.00252,7.99561,-7.01904,-15.625,-1.51798,2.74385,-8.83013,1.46484,3.2959,16.72363
13000,-1.94416,2.61456,-8.94506,7.99561,-7.08008,-14.83154,-1.90106,2.80132,-9.10787,-1.0376,-1.70898,5.85938
13100,-2.05909,2.66245,-9.11745,7.87354,-7.56836,-15.625,-2.04472,2.71991,-8.57155,-5.85938,-0.61035,-0.61035
13200,-1.90585,2.8061,-9.00252,7.87354,-8.30078,-14.4043,-1.94416,2.6385,-8.85886,-6.10352,2.19727,-2.0752
13300,-1.68558,2.71991,-8.77267,7.87354,-8.54492,-15.19775,-1.65206,2.84441,-8.73436,-4.15039,5.61523,0.0
13400,-1.28334,2.77737,-8.79182,7.50732,-8.97217,-15.19775,-1.19714,2.60977,-8.4662,0.91553,7.50732,-1.46484
13500,-1.52277,2.61456,-8.85886,7.87354,-8.30078,-14.16016,-1.4653,2.8492,-8.5907,13.12256,2.2583,-2.50244
13600,-1.74304,2.62414,-9.08871,8.30078,-7.50732,-15.99121,-1.72868,2.79653,-9.11745,13.24463,-7.99561,-5.85938
13700,-1.82924,2.70076,-9.07914,7.50732,-7.87354,-15.625,-1.85318,2.47569,-8.83492,12.146,0.18311,-14.70947
13800,-1.85797,2.54752,-8.86844,7.20215,-6.83594,-15.625,-1.85797,2.65287,-8.85407,1.2207,0.61035,-5.18799
13900,-1.61854,2.77737,-9.00252,7.87354,-6.83594,-14.83154,-1.59938,2.59541,-8.88281,-5.67627,2.01416,-0.30518
14000,-1.54192,2.71991,-8.86844,7.87354,-6.83594,-14.83154,-1.47488,2.90188,-8.75351,-5.67627,0.61035,3.84521
14100,-1.4653,2.84441,-8.79182,8.66699,-7.87354,-15.19775,-1.40784,2.89709,-8.64817,0.42725,-0.48828,-0.06104
14200,-1.66642,2.72949,-8.76309,7.50732,-6.83594,-16.35742,-1.66642,2.71512,-8.59549,7.26318,1.15967,-0.48828
